,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,ScRNA-seqLevel2
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,ScRNA-seqLevel2
Genomic Reference,Genomic Reference,GenomicReference,Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/),True,,,,ScRNA-seqLevel2
scRNAseq Workflow Parameters Description,scRNAseq Workflow Parameters Description,ScRNAseqWorkflowParametersDescription,"Parameters used to run the workflow. scRNA-seq level 3: e.g. Normalization and log transformation, ran empty drops or doublet detection, used filter on # genes/cell, etc. scRNA-seq Level 4: dimensionality reduction with PCA and 50 components, nearest-neighbor graph with k = 20 and Leiden clustering with resolution = 1, UMAP visualization using 50 PCA components, marker genes used to annotate cell types, information about droplet matrix (all barcodes) to cell matrix (only informative barcodes representing real cells) conversion",True,,,,ScRNA-seqLevel2
Workflow Version,Workflow Version,WorkflowVersion,Major version of the workflow (e.g. Cell Ranger v3.1),True,,,,ScRNA-seqLevel2
Genome Annotation URL,Genome Annotation URL,GenomeAnnotationURL,Link to the human genome annotation (GTF) file (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/gencode.v34.annotation.gtf.gz),True,,,,ScRNA-seqLevel2
Whitelist Cell Barcode File Link,Whitelist Cell Barcode File Link,WhitelistCellBarcodeFileLink,Link to file listing all possible cell barcodes. URL,True,,,,ScRNA-seqLevel2
Genomic Reference URL,Genomic Reference URL,GenomicReferenceURL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz) [URL],True,,,,ScRNA-seqLevel2
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,ScRNA-seqLevel2
UMI Tag,UMI Tag,UMITag,"SAM tag for UMI field; please provide a valid UB, UMI",True,,,,ScRNA-seqLevel2
scRNAseq Workflow Type,scRNAseq Workflow Type,ScRNAseqWorkflowType,Generic name for the workflow used to analyze a data set.,True,,"['Cell annotation', 'Cufflinks', 'STARsolo', 'CellRanger', 'SEQC', 'DEXSeq', 'dropEST', 'HTSeq - FPKM', 'Differentiation trajectory analysis', 'Other', 'HCA Optimus']",,ScRNA-seqLevel2
Checksum,Checksum,Checksum,MD5 checksum of the BAM file,True,,,,ScRNA-seqLevel2
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. DockStore.org recommended. URL,True,,,,ScRNA-seqLevel2
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,ScRNA-seqLevel2
Applied Hard Trimming,Applied Hard Trimming,AppliedHardTrimming,TBD,True,,"['No', 'Yes - Applied Hard Trimming']",,ScRNA-seqLevel2
Cell Barcode Tag,Cell Barcode Tag,CellBarcodeTag,SAM tag for cell barcode field; please provide a valid cell barcode tag,True,,,,ScRNA-seqLevel2
Filename,Filename,filename,Name of a file ,True,,,,ScRNA-seqLevel2
Aligned Read Length,Aligned Read Length,AlignedReadLength,Read length used for alignment if hard trimming was applied,False,True,," If Applied Hard Trimming is ""Yes - Applied Hard Trimming"" then ""Aligned Read Length"" is required",ScRNA-seqLevel2
Linked Matrices,Linked Matrices,LinkedMatrices,All matrices associated with every part of a SingleCellExperiment object. Comma-delimited list of filenames,False,,,,ScRNA-seqLevel3
Cell Total,Cell Total,CellTotal,Number of sequenced  cells. Applies to raw counts matrix only.,True,,,,ScRNA-seqLevel3
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,ScRNA-seqLevel3
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,ScRNA-seqLevel3
Cell Median Number Reads,Cell Median Number Reads,CellMedianNumberReads,Median number of reads per cell. Number,True,,,,ScRNA-seqLevel3
scRNAseq Workflow Parameters Description,scRNAseq Workflow Parameters Description,ScRNAseqWorkflowParametersDescription,"Parameters used to run the workflow. scRNA-seq level 3: e.g. Normalization and log transformation, ran empty drops or doublet detection, used filter on # genes/cell, etc. scRNA-seq Level 4: dimensionality reduction with PCA and 50 components, nearest-neighbor graph with k = 20 and Leiden clustering with resolution = 1, UMAP visualization using 50 PCA components, marker genes used to annotate cell types, information about droplet matrix (all barcodes) to cell matrix (only informative barcodes representing real cells) conversion",True,,,,ScRNA-seqLevel3
Workflow Version,Workflow Version,WorkflowVersion,Major version of the workflow (e.g. Cell Ranger v3.1),True,,,,ScRNA-seqLevel3
Cell Median Number Genes,Cell Median Number Genes,CellMedianNumberGenes,Median number of genes detected per cell. Number,True,,,,ScRNA-seqLevel3
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,ScRNA-seqLevel3
scRNAseq Workflow Type,scRNAseq Workflow Type,ScRNAseqWorkflowType,Generic name for the workflow used to analyze a data set.,True,,"['Cell annotation', 'Cufflinks', 'STARsolo', 'CellRanger', 'SEQC', 'DEXSeq', 'dropEST', 'HTSeq - FPKM', 'Differentiation trajectory analysis', 'Other', 'HCA Optimus']",,ScRNA-seqLevel3
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. DockStore.org recommended. URL,True,,,,ScRNA-seqLevel3
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,ScRNA-seqLevel3
Data Category,Data Category,DataCategory,Specific content type of the data file.,True,,"['Splice Junction Quantification', 'Gene Expression Quantification', 'Isoform Expression Quantification', 'Exon Expression Quantification', 'Gene Expression', 'Other', 'Transcript Expression']",,ScRNA-seqLevel3
Filename,Filename,filename,Name of a file ,True,,,,ScRNA-seqLevel3
Matrix Type,Matrix Type,MatrixType,Type of data stored in matrix.,True,,"['Batch Corrected Counts', 'Raw Counts', 'Scaled Counts', 'Normalized Counts']",,ScRNA-seqLevel3
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,ScRNA-seqLevel4
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,ScRNA-seqLevel4
scRNAseq Workflow Parameters Description,scRNAseq Workflow Parameters Description,ScRNAseqWorkflowParametersDescription,"Parameters used to run the workflow. scRNA-seq level 3: e.g. Normalization and log transformation, ran empty drops or doublet detection, used filter on # genes/cell, etc. scRNA-seq Level 4: dimensionality reduction with PCA and 50 components, nearest-neighbor graph with k = 20 and Leiden clustering with resolution = 1, UMAP visualization using 50 PCA components, marker genes used to annotate cell types, information about droplet matrix (all barcodes) to cell matrix (only informative barcodes representing real cells) conversion",True,,,,ScRNA-seqLevel4
Workflow Version,Workflow Version,WorkflowVersion,Major version of the workflow (e.g. Cell Ranger v3.1),True,,,,ScRNA-seqLevel4
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,ScRNA-seqLevel4
scRNAseq Workflow Type,scRNAseq Workflow Type,ScRNAseqWorkflowType,Generic name for the workflow used to analyze a data set.,True,,"['Cell annotation', 'Cufflinks', 'STARsolo', 'CellRanger', 'SEQC', 'DEXSeq', 'dropEST', 'HTSeq - FPKM', 'Differentiation trajectory analysis', 'Other', 'HCA Optimus']",,ScRNA-seqLevel4
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. DockStore.org recommended. URL,True,,,,ScRNA-seqLevel4
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,ScRNA-seqLevel4
Filename,Filename,filename,Name of a file ,True,,,,ScRNA-seqLevel4
Kmer Content,Kmer Content,KmerContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Per Base N Content,Per Base N Content,PerBaseNContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Library Strand,Library Strand,LibraryStrand,Library stranded-ness.,False,,"['Unstranded', 'Second Stranded', 'Not Applicable', 'First Stranded', '']",,BulkRNA-seqLevel1
Sequencing Batch ID,Sequencing Batch ID,SequencingBatchID,Links samples to a specific local sequencer run. Can be string or 'null',True,,,,BulkRNA-seqLevel1
Per Sequence GC Content,Per Sequence GC Content,PerSequenceGCContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Fragment Mean Length,Fragment Mean Length,FragmentMeanLength,"Mean length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Number",False,,,,BulkRNA-seqLevel1
Adapter Content,Adapter Content,AdapterContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Library Preparation Kit Vendor,Library Preparation Kit Vendor,LibraryPreparationKitVendor,Vendor of Library Preparation Kit. String,True,,,,BulkRNA-seqLevel1
To Trim Adapter Sequence,To Trim Adapter Sequence,ToTrimAdapterSequence,Does the user suggest adapter trimming?,False,,"['No', 'Yes - Trim Adapter Sequence', '']",,BulkRNA-seqLevel1
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,BulkRNA-seqLevel1
Adapter Name,Adapter Name,AdapterName,Name of the sequencing adapter. String,False,,,,BulkRNA-seqLevel1
Fragment Minimum Length,Fragment Minimum Length,FragmentMinimumLength,"Minimum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",False,,,,BulkRNA-seqLevel1
RIN,RIN,RIN,A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products. Number,False,,,,BulkRNA-seqLevel1
Encoding,Encoding,Encoding,Version of ASCII encoding of quality values found in the file. String,False,,,,BulkRNA-seqLevel1
QC Workflow Version,QC Workflow Version,QCWorkflowVersion,Major version for a workflow. String,False,,,,BulkRNA-seqLevel1
Basic Statistics,Basic Statistics,BasicStatistics,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Sequence Length Distribution,Sequence Length Distribution,SequenceLengthDistribution,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
QC Workflow Link,QC Workflow Link,QCWorkflowLink,Link to workflow used. String,False,,,,BulkRNA-seqLevel1
DV200,DV200,DV200,Represents the percentage of RNA fragments that are >200 nucleotides in size. Number,False,,,,BulkRNA-seqLevel1
Cell Barcode,Cell Barcode,CellBarcode,TBD,False,,,,BulkRNA-seqLevel1
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,BulkRNA-seqLevel1
Library Selection Method,Library Selection Method,LibrarySelectionMethod,How RNA molecules are isolated.,True,,"['rRNA Depletion', 'miRNA Size Fractionation', 'Other', 'Random', 'Affinity Enrichment', 'PCR', 'Poly-T Enrichment', 'Hybrid Selection']",,BulkRNA-seqLevel1
Total Reads,Total Reads,TotalReads,Total number of reads per sample. Integer,False,,,,BulkRNA-seqLevel1
Base Caller Name,Base Caller Name,BaseCallerName,Name of the base caller. String,False,,,,BulkRNA-seqLevel1
QC Workflow Type,QC Workflow Type,QCWorkflowType,Generic name for the workflow used to analyze a data set. String,False,,,,BulkRNA-seqLevel1
Per Base Sequence Quality,Per Base Sequence Quality,PerBaseSequenceQuality,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Sequence Duplication Levels,Sequence Duplication Levels,SequenceDuplicationLevels,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Read Indicator,Read Indicator,ReadIndicator,Indicate if this is Read 1 (R1) or Read 2 (R2),True,,"['R1', 'R1&R2', 'R2']",,BulkRNA-seqLevel1
Library Preparation Kit Version,Library Preparation Kit Version,LibraryPreparationKitVersion,Version of Library Preparation Kit. String,True,,,,BulkRNA-seqLevel1
Per Tile Sequence Quality,Per Tile Sequence Quality,PerTileSequenceQuality,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Library Preparation Days from Index,Library Preparation Days from Index,LibraryPreparationDaysfromIndex,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number],False,,,,BulkRNA-seqLevel1
Base Caller Version,Base Caller Version,BaseCallerVersion,Version of the base caller. String,False,,,,BulkRNA-seqLevel1
HTAN Parent Biospecimen ID,HTAN Parent Biospecimen ID,HTANParentBiospecimenID,HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated,True,,,,BulkRNA-seqLevel1
Read Length,Read Length,ReadLength,"The length of the sequencing reads. Can be integer, null",True,,,,BulkRNA-seqLevel1
Flow,Flow,Flow,TBD,False,,,,BulkRNA-seqLevel1
Overrepresented Sequences,Overrepresented Sequences,OverrepresentedSequences,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Per Sequence Quality Score,Per Sequence Quality Score,PerSequenceQualityScore,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Library Layout,Library Layout,LibraryLayout,Sequencing read type,True,,"['Paired End', 'Single Read']",,BulkRNA-seqLevel1
Transcript Integrity Number,Transcript Integrity Number,TranscriptIntegrityNumber,"Used to describe the quality of the starting material, esp. in regards to FFPE samples. Number",False,,,,BulkRNA-seqLevel1
Nucleic Acid Source,Nucleic Acid Source,NucleicAcidSource,The source of the input nucleic molecule,True,,"['Single Nucleus', 'Single Cell', 'Bulk Nuclei', 'Bulk Whole Cell']",,BulkRNA-seqLevel1
Percent GC Content,Percent GC Content,PercentGCContent,The overall %GC of all bases in all sequences. Integer,False,,,,BulkRNA-seqLevel1
Lane Number,Lane Number,LaneNumber,"The basic machine unit for sequencing. For Illumina machines, this reflects the physical lane number. Wrong or missing information may affect analysis results. Integer",False,,,,BulkRNA-seqLevel1
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,BulkRNA-seqLevel1
Fragment Standard Deviation Length,Fragment Standard Deviation Length,FragmentStandardDeviationLength,"Standard deviation of the sequenced fragments length (e.g., as predicted by Agilent Bioanalyzer). Number",False,,,,BulkRNA-seqLevel1
Multiplex Barcode,Multiplex Barcode,MultiplexBarcode,The barcode/index sequence used. Wrong or missing information may affect analysis results. String,False,,,,BulkRNA-seqLevel1
Per Base Sequence Content,Per Base Sequence Content,PerBaseSequenceContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkRNA-seqLevel1
Adapter Sequence,Adapter Sequence,AdapterSequence,Base sequence of the sequencing adapter. String,False,,,,BulkRNA-seqLevel1
Spike In,Spike In,SpikeIn,A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix,True,,"['No Spike In', 'ERCC', 'Other Spike In', 'PhiX']",,BulkRNA-seqLevel1
Sequencing Platform,Sequencing Platform,SequencingPlatform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,True,,"['Illumina Genome Analyzer II', 'Illumina Genome Analyzer IIx', 'Illumina Next Seq 2500', 'Illumina NextSeq', 'PacBio RS', 'Illumina HiSeq X Five', 'AB SOLiD 3', 'Illumina HiSeq 2000', 'Illumina HiSeq 4000', 'Unknown', 'Complete Genomics', 'Ion Torrent S5', 'Not Reported', 'Illumina HiSeq X Ten', '454 GS FLX Titanium', 'Ion Torrent Proton', 'Illumina Next Seq 500', 'NovaSeqS4', 'Illumina MiSeq', 'AB SOLiD 4 AB SOLiD 2', 'Illumina NovaSeq 6000', 'NovaSeq 6000', 'Illumina HiSeq 2500', 'Other', 'Illumina Next Seq 550', 'Ion Torrent PGM']",,BulkRNA-seqLevel1
Library Preparation Kit Name,Library Preparation Kit Name,LibraryPreparationKitName,Name of Library Preparation Kit. String,True,,,,BulkRNA-seqLevel1
Target Depth,Target Depth,TargetDepth,The targeted read depth prior to sequencing. Integer,False,,,,BulkRNA-seqLevel1
Fragment Maximum Length,Fragment Maximum Length,FragmentMaximumLength,"Maximum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",False,,,,BulkRNA-seqLevel1
Size Selection Range,Size Selection Range,SizeSelectionRange,Range of size selection. String,False,,,,BulkRNA-seqLevel1
Filename,Filename,filename,Name of a file ,True,,,,BulkRNA-seqLevel1
Spike In Concentration,Spike In Concentration,SpikeInConcentration,The final concentration or dilution (for commercial sets) of the spike in mix [PMID:21816910],False,True,," If Spike In is ""ERCC"" then ""Spike In Concentration"" is required",BulkRNA-seqLevel1
Total Unmapped reads,Total Unmapped reads,TotalUnmappedreads,Number of reads that did not map to genome. Integer,False,,,,BulkRNA-seqLevel2
Genomic Reference URL,Genomic Reference URL,GenomicReferenceURL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz) [URL],True,,,,BulkRNA-seqLevel2
Average Read Length,Average Read Length,AverageReadLength,Average read length collected from samtools. Integer,False,,,,BulkRNA-seqLevel2
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,BulkRNA-seqLevel2
Contamination,Contamination,Contamination,Fraction of reads coming from cross-sample contamination collected from GATK4. Number,False,,,,BulkRNA-seqLevel2
Proportion Base Mismatch,Proportion Base Mismatch,ProportionBaseMismatch,Proportion of mismatched bases collected from samtools. Number,False,,,,BulkRNA-seqLevel2
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,BulkRNA-seqLevel2
Average Base Quality,Average Base Quality,AverageBaseQuality,Average base quality collected from samtools. Number,False,,,,BulkRNA-seqLevel2
Short Reads,Short Reads,ShortReads,Number of reads that were too short. Integer,False,,,,BulkRNA-seqLevel2
Proportion Reads Mapped,Proportion Reads Mapped,ProportionReadsMapped,Proportion of mapped reads collected from samtools. Number,False,,,,BulkRNA-seqLevel2
Proportion,Proportion,Proportion,TBD,False,,,,BulkRNA-seqLevel2
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,BulkRNA-seqLevel2
Index File Name,Index File Name,IndexFileName,The name (or part of a name) of a file (of any type). String,True,,,,BulkRNA-seqLevel2
Mean Coverage,Mean Coverage,MeanCoverage,"Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard. Number",False,,,,BulkRNA-seqLevel2
Total Reads,Total Reads,TotalReads,Total number of reads per sample. Integer,False,,,,BulkRNA-seqLevel2
Genomic Reference,Genomic Reference,GenomicReference,Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/),True,,,,BulkRNA-seqLevel2
MSI Workflow Link,MSI Workflow Link,MSIWorkflowLink,Link to method workflow (or command) used in estimating the MSI. URL,False,,,,BulkRNA-seqLevel2
MSI Status,MSI Status,MSIStatus,MSIsensor determination of either microsatellite stability or instability.,False,,"['MSI', 'MSS', 'MSI-low', 'MSI-high', '']",,BulkRNA-seqLevel2
Alignment Workflow Type,Alignment Workflow Type,AlignmentWorkflowType,Generic name for the workflow used to analyze a data set.,True,,"['None', 'STAR 2-Pass Genome', 'Other Alignment Workflow', 'BWA', 'STAR 2-Pass', 'BWA with Mark Duplicates and BQSR', 'BWA-aln', 'STAR 2-Pass Chimeric', 'BWA-mem', 'BWA with BQSR', 'STAR 2-Pass Transcriptome']",,BulkRNA-seqLevel2
Targets No Coverage,Targets No Coverage,TargetsNoCoverage,TBD,False,,,,BulkRNA-seqLevel2
Pairs On Diff CHR,Pairs On Diff CHR,PairsOnDiffCHR,Pairs on different chromosomes collected from samtools. Integer,False,,,,BulkRNA-seqLevel2
Contamination Error,Contamination Error,ContaminationError,Estimation error of cross-sample contamination collected from GATK4. Number,False,,,,BulkRNA-seqLevel2
Total Uniquely Mapped,Total Uniquely Mapped,TotalUniquelyMapped,Number of reads that map to genome. Integer,False,,,,BulkRNA-seqLevel2
Proportion Reads Duplicated,Proportion Reads Duplicated,ProportionReadsDuplicated,Proportion of duplicated reads collected from samtools. Number,False,,,,BulkRNA-seqLevel2
MSI Score,MSI Score,MSIScore,Numeric score denoting the aligned reads file's MSI score from MSIsensor. Number,False,,,,BulkRNA-seqLevel2
Alignment Workflow Url,Alignment Workflow Url,AlignmentWorkflowUrl,Link to workflow used for read alignment. DockStore.org recommended. String,True,,,,BulkRNA-seqLevel2
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,BulkRNA-seqLevel2
Average Insert Size,Average Insert Size,AverageInsertSize,Average insert size collected from samtools. Integer,False,,,,BulkRNA-seqLevel2
Filename,Filename,filename,Name of a file ,True,,,,BulkRNA-seqLevel2
Custom Alignment Workflow,Custom Alignment Workflow,CustomAlignmentWorkflow,Specify the name of a custom alignment workflow,False,True,," If Alignment is ""Other Alignment Workflow"" then ""Custom Alignment Workflow"" is required",BulkRNA-seqLevel2
